species,landscape,rep,it,numocc
ca_species1,LLM3,0,1,66077
ca_species1,LLM3,0,2,41275
ca_species1,LLM3,0,3,30103
ca_species1,LLM3,0,4,24054
ca_species1,LLM3,0,5,20478
ca_species1,LLM3,0,6,18113
ca_species1,LLM3,0,7,16492
ca_species1,LLM3,0,8,15350
ca_species1,LLM3,0,9,14387
ca_species1,LLM3,0,10,13568
ca_species1,LLM3,0,11,12977
ca_species1,LLM3,0,12,12587
ca_species1,LLM3,0,13,12128
ca_species1,LLM3,0,14,11825
ca_species1,LLM3,0,15,11672
ca_species1,LLM3,0,16,11536
ca_species1,LLM3,0,17,11437
ca_species1,LLM3,0,18,11163
ca_species1,LLM3,0,19,11012
ca_species1,LLM3,0,20,10920
ca_species1,LLM3,0,21,10824
ca_species1,LLM3,0,22,10683
ca_species1,LLM3,0,23,10576
ca_species1,LLM3,0,24,10535
ca_species1,LLM3,0,25,10478
ca_species1,LLM3,0,26,10468
ca_species1,LLM3,0,27,10432
ca_species1,LLM3,0,28,10458
ca_species1,LLM3,0,29,10514
ca_species1,LLM3,0,30,10445
ca_species1,LLM3,0,31,10365
ca_species1,LLM3,0,32,10262
ca_species1,LLM3,0,33,10166
ca_species1,LLM3,0,34,10082
ca_species1,LLM3,0,35,10005
ca_species1,LLM3,0,36,10031
ca_species1,LLM3,0,37,10021
ca_species1,LLM3,0,38,9997
ca_species1,LLM3,0,39,9935
ca_species1,LLM3,0,40,9909
ca_species1,LLM3,0,41,9940
ca_species1,LLM3,0,42,9951
ca_species1,LLM3,0,43,9935
ca_species1,LLM3,0,44,9964
ca_species1,LLM3,0,45,9920
ca_species1,LLM3,0,46,9954
ca_species1,LLM3,0,47,9999
ca_species1,LLM3,0,48,10009
ca_species1,LLM3,0,49,10029
ca_species1,LLM3,0,50,10004
ca_species1,LLM3,0,51,9933
ca_species1,LLM3,0,52,9933
ca_species1,LLM3,0,53,9929
ca_species1,LLM3,0,54,9879
ca_species1,LLM3,0,55,9810
ca_species1,LLM3,0,56,9950
ca_species1,LLM3,0,57,9974
ca_species1,LLM3,0,58,9900
ca_species1,LLM3,0,59,9894
ca_species1,LLM3,0,60,9797
ca_species1,LLM3,0,61,9820
ca_species1,LLM3,0,62,9892
